distance,actor_name
0.0,Chris Hemsworth
5.477225575051661,Tom Cruise
8.246211251235321,Henry Cavill
8.831760866327848,Tyrese Gibson
9.055385138137417,Orlando Bloom
9.219544457292887,Vin Diesel
9.219544457292887,Angelina Jolie
9.591663046625438,Jet Li
9.591663046625438,Adrian Paul
9.797958971132712,Mark Dacascos
