left_actor_name,arrow,right_actor_name
Mark Wahlberg,<->,Helena Bonham Carter
Mark Wahlberg,<->,Tim Roth
Mark Wahlberg,<->,Michael Clarke Duncan
Joseph Gordon-Levitt,<->,Emma Thompson
Joseph Gordon-Levitt,<->,Martin Short
Joseph Gordon-Levitt,<->,Roscoe Lee Browne
Carmine Giovinazzo,<->,Louis Ferreira
Carmine Giovinazzo,<->,Karen Black
Carmine Giovinazzo,<->,Peter Onorati
David Arquette,<->,Neve Campbell
David Arquette,<->,Courteney Cox
David Arquette,<->,Liev Schreiber
Huey Lewis,<->,Gwyneth Paltrow
Huey Lewis,<->,Paul Giamatti
Huey Lewis,<->,Andre Braugher
Radha Mitchell,<->,Cole Hauser
Radha Mitchell,<->,Vin Diesel
Radha Mitchell,<->,Keith David
James Spader,<->,Peter Facinelli
James Spader,<->,Robin Tunney
James Spader,<->,Angela Bassett
Blake Heron,<->,A Martinez
Blake Heron,<->,Russell Means
Blake Heron,<->,Wes Studi
Chris Penn,<->,Jeffrey Wright
Chris Penn,<->,Anthony DeSando
Chris Penn,<->,Sherilyn Fenn
George Clooney,<->,Catherine Zeta-Jones
George Clooney,<->,Billy Bob Thornton
George Clooney,<->,Geoffrey Rush
Kevin Kline,<->,Kenneth Branagh
Kevin Kline,<->,Rosie Perez
Kevin Kline,<->,Armand Assante
Whitman Mayo,<->,April Grace
Whitman Mayo,<->,Burt Reynolds
Whitman Mayo,<->,Cordereau Dye
Mark Wahlberg,<->,Joaquin Phoenix
Mark Wahlberg,<->,Charlize Theron
Mark Wahlberg,<->,James Caan
Natasha Henstridge,<->,Michael Vartan
Natasha Henstridge,<->,Michael Rispoli
Natasha Henstridge,<->,Olivia d'Abo
Denzel Washington,<->,Ethan Hawke
Denzel Washington,<->,Scott Glenn
Denzel Washington,<->,Tom Berenger
David Carradine,<->,Michael Maloney
David Carradine,<->,Mariel Hemingway
David Carradine,<->,Marina Anderson
Julie Lee,<->,Michael Madsen
Julie Lee,<->,Cary-Hiroyuki Tagawa
Julie Lee,<->,Richard Hatch
Warren Beatty,<->,Diane Keaton
Warren Beatty,<->,Nastassja Kinski
Warren Beatty,<->,Goldie Hawn
Matthew McConaughey,<->,Bill Paxton
Matthew McConaughey,<->,Harvey Keitel
Matthew McConaughey,<->,Jon Bon Jovi
Lloyd Bridges,<->,Josh Charles
Lloyd Bridges,<->,Alexandra Wentworth
Lloyd Bridges,<->,Beau Bridges
Christian Bale,<->,Justin Theroux
Christian Bale,<->,Josh Lucas
Christian Bale,<->,Bill Sage
Heather Graham,<->,Casey Affleck
Heather Graham,<->,Luke Wilson
Heather Graham,<->,Goran Visnjic
Eddie Murphy,<->,Janet Jackson
Eddie Murphy,<->,Larry Miller
Eddie Murphy,<->,John Ales
Alice Amter,<->,Clint Carmichael
Alice Amter,<->,Brendan Fraser
Alice Amter,<->,Jennifer Hale
