distance,actor_name,similarity
0.0,Chris Hemsworth,1.0
0.02688463061355484,Tom Cruise,0.9731153693864452
0.04459907371977079,Henry Cavill,0.9554009262802292
0.045203363012771614,Ray Stevenson,0.9547966369872284
0.04878254078965649,Tiger Shroff,0.9512174592103435
0.051694237969527324,Sudeep,0.9483057620304727
0.053414613481432394,Jordi Mollà,0.9465853865185676
0.05652570932413603,Richard Norton,0.943474290675864
0.05652570932413603,Mark Mortimer,0.943474290675864
0.05800371753039024,Taylor Kitsch,0.9419962824696098
